
2015-02-22 05:05:37,"@millswem lies, there are liberals and conservatives there so if a conservative lies than the liberal screams,ive seen it pretty awsome"
2015-02-22 05:05:33,Loving everything you do @oprah thanks for bringing the ESSENCE #BlackWomenInHollywood to @OWNTV.  @essencemag. http://t.co/4AdccWlVpE
2015-02-22 05:05:29,Firehouse annual dinner @ The Colonial Inn http://t.co/COffuOtSGv
2015-02-22 05:05:26,Waiting a fucking hour to get off the runway
2015-02-22 05:05:10,@PabloBjarano8 yeah not the whole place but a part of it I passed by there was a lot of fire trucks
2015-02-22 05:05:04,@ilazer thank you for restoring the god-awful reputation bestowed upon us by Lindsay Lohan and The Long Island Medium's hair. #FuckL.I.
2015-02-22 05:04:59,Saige is outcold in the back of brians car.....LOL #itsbeenfivemins
2015-02-22 05:04:43,If only washing your face was like it is in the commercials
2015-02-22 05:04:38,@gabbygoudron @daraemma_ how's the night
2015-02-22 05:04:37,Listening to big pun n remembering of the train conductor sounding just like him 😂😂😂
2015-02-22 05:04:37,The @NSA_PAO is trackin me and @gagabrunswick 4 our swag http://t.co/xlcNt84ex5
2015-02-22 05:04:33,"dinner and a view with my number one 💋 @ The Chart House, Weehawken http://t.co/ykg7Ji92HQ"
2015-02-22 05:04:29,"But I only hit it when im in the O.

Lol"
2015-02-22 05:04:25,The kings have some pretty fresh jerseys tn
2015-02-22 05:04:17,#BradleyCooper post #TheElephantMan @ The Elephant Man http://t.co/wgPe80fuiv
2015-02-22 05:03:34,@visaraj ✋better RBI guv than the prev shit. Really speaking about what has been known all the while
2015-02-22 05:03:33,lmao Id could have finished my homework 4 times if I wasn't on my phone all the time 😪
2015-02-22 05:03:28,When Caribbean People Hear Ebola is in the US!: http://t.co/yGLmN3FvEc what the hell is wrong with this man he is so funny lmfao😂😂😂😂😂😂😂😂😂😂😂😂
2015-02-22 05:03:20,@daniellejdougs take a shootttt for me (drake voice) but yes thank you I'm having the time of my life right now
2015-02-22 05:03:19,I feel if i ever chose to actually meet up with a stranger from tinder I'd be the one person to be kidnapped and dead
2015-02-22 05:03:18,Watch out for the black guys I mean black ice
2015-02-22 05:03:14,"""@That_Official: If a female continues to come back to you 💏 regardless of the situation👌 then that's your rider 💍👫🚙🔐🔫💕😍💯""👌👌👌"
2015-02-22 05:03:07,HAPPY 19TH BIRTHDAY ON THE EAST COAST TO THIS BEAUTIFUL HUNK OF MAN @coleIM5 I LOVE YOU SM COLEY POLEY😭🎈❤️🎊🎉@IM5band http://t.co/fsJg5IvZgd
2015-02-22 05:03:07,that's the main thing that really gets me tight
2015-02-22 05:03:05,NZ Part II: Adventures in the North Island  http://t.co/tzvZCjzONq
2015-02-22 05:02:55,There are moments in the city when I wish I could summon the booing hag from The Princess Bride!
2015-02-22 05:02:55,“@dbricksss: ☺️💖 - you &amp; us friends loud is hell that day on the bus but ion know 😂😂💪”😭😭😂😂😂😂😂😂
2015-02-22 05:02:44,Sitting in the dark and listening to #ASOTFESTNL for awhile
2015-02-22 05:02:42,"@RobLowe I can't be the only one upset this didn't win anything. Best ensemble in my book, maybe ever. http://t.co/eIdlbDisRl"
2015-02-22 05:02:31,Restricted license but im still on the rxad. @ Brownsville Projects http://t.co/YCPaDEsRWY
2015-02-22 05:02:30,Just killed the stage .... I Just kicked in the door now it's @joellortiz turn 😈🔥🔥🎵🎵💯💯💯🎥… http://t.co/nXVP869Xx0
2015-02-22 05:02:24,Actually Reagan did fundamentally change America. Not for the better though. Unless you are rich today  “@AaronCSmith1: @jsavite Reagan”
2015-02-22 05:02:21,@nuclearcarly it's because there's no break between the bottom of the white pants and bottom of the jersey! #graphicdesigner
2015-02-22 05:02:17,don't beg for my time then waste it . I'll smack the shit outta you 😴
2015-02-22 05:02:17,I'm on the Sketchbot! @ Cooper Hewitt http://t.co/MhNJh3UWCW
2015-02-22 05:02:15,Watermelon is the best fruit ever
2015-02-22 05:02:12,"👽
You're chill tbh but the cyphs never happen 😒"
2015-02-22 05:02:09,Thank you the Gift. Its beautiful bro.  @Hooked2Hookah u Da Man!!  Thanks Again Big bro!! @ Club… http://t.co/bsQBEB9IIr
2015-02-22 05:02:08,- Why is it that every time i fuck with a nigga they can't take the heat of other niggas wanting me then wanna leave Like boy wtf I'm YOURS🔐
2015-02-22 05:01:56,Happy birthday to the bestest friend ever😻💍💙 have the best day ever🎉 ilysmmmm👅😉🐳💖 http://t.co/mcDabOprdM
2015-02-22 05:01:55,On the road to dawn
2015-02-22 05:01:52,Gate blowing down and drinking I end up eating the whole house
